machine_id,type_machine,age_machine_jours,derniere_maintenance_jours,temperature_moyenne,vibration_moyenne,pression_moyenne,nb_incidents_3_mois,criticite
MCH-MK-00049,presse,158,143,75.9,4.08,10.24,2,moyenne
MCH-LY-00050,presse,5655,86,72.2,4.03,2.19,1,moyenne
MCH-UY-00051,pompe,1915,244,39.6,3.41,7.69,1,basse
MCH-IN-00052,compresseur,1535,221,48.1,0.0,7.56,1,basse
MCH-BD-00053,convoyeur,5996,75,69.3,4.8,7.84,2,moyenne
MCH-ZA-00054,convoyeur,4312,74,63.4,5.06,8.08,0,basse
MCH-PK-00055,pompe,284,48,58.8,3.25,5.92,1,basse
MCH-SO-00056,convoyeur,371,110,77.9,3.34,4.13,0,basse
MCH-CM-00057,pompe,153,55,54.4,3.75,8.54,1,basse
MCH-MT-00058,presse,3597,46,59.5,5.19,5.51,3,haute
MCH-BR-00059,presse,429,108,57.2,3.38,9.01,2,basse
MCH-TG-00060,four,5600,26,71.1,2.71,5.66,3,basse
MCH-KE-00061,presse,5621,145,44.4,3.57,9.73,3,haute
MCH-YE-00062,compresseur,3276,111,59.0,2.98,7.86,0,basse
MCH-VN-00063,four,3699,213,44.3,3.0,8.04,4,moyenne
MCH-ML-00064,convoyeur,1751,90,61.2,0.35,7.38,0,basse
MCH-TR-00065,compresseur,383,124,73.7,3.78,6.98,5,basse
MCH-FI-00066,four,4424,135,73.9,4.76,7.42,3,moyenne
MCH-MA-00067,compresseur,610,172,56.3,4.53,10.95,3,basse
MCH-BJ-00068,pompe,513,82,71.4,4.43,4.16,1,basse
MCH-BD-00069,convoyeur,1867,48,62.8,2.92,6.38,2,basse
MCH-HR-00070,presse,74,91,81.3,3.22,10.64,0,basse
MCH-GT-00071,pompe,2604,145,63.4,4.79,10.05,1,basse
MCH-JP-00072,convoyeur,4246,158,29.3,4.3,11.36,4,haute
MCH-BR-00073,pompe,4808,13,75.7,5.23,7.85,5,moyenne
MCH-HT-00074,presse,3625,365,59.5,1.99,4.7,1,basse
MCH-BZ-00075,convoyeur,5081,47,61.7,1.98,5.23,1,basse
MCH-MU-00076,compresseur,2439,125,69.0,2.5,7.25,1,moyenne
MCH-IT-00077,compresseur,5092,186,47.9,1.59,9.9,2,moyenne
MCH-PH-00078,convoyeur,3038,69,65.9,1.02,7.36,5,basse
MCH-ZW-00079,presse,1338,163,71.4,3.7,7.17,1,basse
MCH-MM-00080,four,5664,13,69.4,3.6,8.99,3,moyenne
MCH-DK-00081,convoyeur,1649,167,57.8,3.37,8.07,0,basse
MCH-MN-00082,pompe,157,153,76.9,3.53,6.9,5,basse
MCH-MH-00083,four,1456,100,53.0,0.8,5.5,0,basse
MCH-GE-00084,presse,2200,145,57.5,2.28,10.37,3,basse
MCH-SV-00085,presse,2108,225,63.4,2.56,10.62,1,basse
MCH-IQ-00086,pompe,3148,190,68.5,3.07,5.36,2,basse
MCH-ME-00087,compresseur,5298,73,61.1,0.81,6.99,6,moyenne
MCH-KZ-00088,presse,1754,91,79.7,1.61,9.67,1,basse
MCH-KH-00089,four,3124,63,68.5,2.35,5.16,0,basse
MCH-BN-00090,convoyeur,2040,57,65.9,4.59,8.91,2,basse
MCH-UZ-00091,four,4930,135,68.1,3.39,7.18,1,basse
MCH-ZW-00092,four,945,63,73.8,4.53,4.96,2,basse
MCH-DO-00093,compresseur,621,135,67.9,2.82,12.44,2,basse
MCH-SN-00094,four,3017,69,43.3,3.0,7.15,3,basse
MCH-ZA-00095,compresseur,4031,78,78.1,3.75,9.31,0,basse
MCH-HN-00096,compresseur,4773,36,66.4,2.73,5.2,1,moyenne
MCH-DK-00097,presse,3537,132,73.2,2.06,11.88,1,basse
MCH-PL-00098,presse,4643,12,60.1,0.77,12.87,2,basse
MCH-MU-00099,pompe,2356,171,43.1,2.1,4.24,3,moyenne
MCH-IR-00100,four,197,309,37.7,4.25,7.59,1,moyenne
MCH-DZ-00101,pompe,696,80,53.7,4.89,11.32,1,basse
MCH-FM-00102,four,232,77,71.2,1.84,6.83,2,basse
MCH-TH-00103,pompe,1973,17,80.6,0.4,9.02,4,basse
MCH-GN-00104,presse,2972,49,68.6,4.39,3.8,4,moyenne
MCH-LA-00105,presse,2137,146,52.4,3.1,6.03,2,basse
MCH-LR-00106,presse,3363,161,55.6,0.98,8.76,0,basse
MCH-BG-00107,presse,2883,88,81.3,0.0,6.53,3,moyenne
MCH-GT-00108,convoyeur,4067,140,49.3,1.55,7.1,4,moyenne
MCH-AU-00109,presse,4001,37,90.2,2.31,4.21,2,moyenne
MCH-KW-00110,compresseur,1908,103,87.5,1.27,9.64,3,moyenne
MCH-MZ-00111,presse,2077,202,90.6,4.04,4.65,1,moyenne
MCH-IQ-00112,convoyeur,3510,119,69.6,1.78,11.85,1,basse
MCH-BI-00113,convoyeur,3578,223,60.9,3.02,6.29,2,basse
MCH-GH-00114,convoyeur,1888,228,69.3,6.56,10.0,2,haute
MCH-TN-00115,convoyeur,1981,108,75.9,3.18,9.76,1,basse
MCH-VC-00116,pompe,4164,0,57.2,2.83,5.54,1,basse
MCH-KW-00117,pompe,3884,158,51.8,2.86,6.56,0,basse
MCH-GH-00118,compresseur,810,24,61.6,4.0,6.86,3,basse
MCH-TD-00119,pompe,2646,3,55.7,3.82,7.03,3,basse
MCH-SB-00120,convoyeur,5356,10,79.9,1.49,4.76,2,basse
MCH-MY-00121,presse,217,166,57.6,2.38,9.33,0,basse
MCH-BA-00122,presse,5130,109,66.1,2.0,6.28,2,basse
MCH-PK-00123,convoyeur,979,89,76.8,2.58,7.71,0,basse
MCH-CV-00124,four,3043,117,80.4,5.74,10.52,2,haute
MCH-IN-00125,convoyeur,2546,11,67.5,3.93,9.43,1,basse
MCH-CU-00126,pompe,60,63,69.6,2.88,6.45,1,basse
MCH-HU-00127,presse,5492,43,52.8,4.87,10.6,2,haute
MCH-CH-00128,convoyeur,2729,84,77.3,3.28,9.66,5,basse
MCH-TJ-00129,presse,5725,87,80.2,0.54,6.24,4,haute
MCH-SO-00130,convoyeur,1720,113,42.6,5.5,6.71,3,haute
MCH-IN-00131,convoyeur,5197,126,86.2,2.77,10.5,3,moyenne
MCH-AE-00132,pompe,5534,11,56.6,0.0,9.95,2,basse
MCH-TV-00133,convoyeur,3340,64,72.1,0.6,4.24,0,basse
MCH-NP-00134,presse,1216,76,65.9,4.69,5.49,0,moyenne
MCH-TV-00135,compresseur,4111,23,64.3,0.62,9.74,2,basse
MCH-MZ-00136,presse,3293,20,62.5,5.02,5.06,1,basse
MCH-ML-00137,pompe,5667,17,53.1,3.12,10.01,1,basse
MCH-GN-00138,compresseur,2635,139,71.3,4.07,12.84,4,basse
MCH-CU-00139,convoyeur,1611,14,61.6,2.61,8.93,0,basse
MCH-SE-00140,four,829,17,49.3,3.79,5.69,1,basse
MCH-SA-00141,compresseur,4191,82,52.6,3.47,8.44,1,basse
MCH-BW-00142,compresseur,5844,103,49.5,2.94,10.59,1,moyenne
MCH-TW-00143,convoyeur,170,74,58.7,1.4,8.25,1,basse
MCH-BE-00144,four,4442,28,70.8,3.54,9.21,0,basse
MCH-CG-00145,four,5561,21,56.5,0.27,6.0,1,moyenne
MCH-DE-00146,pompe,448,80,76.7,4.4,6.19,3,basse
MCH-YE-00147,compresseur,661,67,63.6,3.3,10.27,2,basse
MCH-DJ-00148,four,4151,54,61.5,3.7,6.22,2,moyenne
MCH-KZ-00149,pompe,3887,135,65.2,0.0,1.53,1,basse
MCH-NO-00150,four,412,64,81.7,1.31,7.23,3,basse
MCH-UG-00151,compresseur,5006,19,48.5,2.24,8.79,2,basse
MCH-BI-00152,four,3140,54,84.9,4.01,10.65,0,moyenne
MCH-MV-00153,compresseur,5443,112,76.5,1.59,12.11,4,moyenne
MCH-MU-00154,convoyeur,5267,61,64.7,6.82,8.21,3,haute
MCH-UG-00155,presse,4875,110,79.2,2.61,9.65,1,moyenne
MCH-PT-00156,pompe,3095,127,61.1,1.48,8.3,2,basse
MCH-SM-00157,convoyeur,1510,64,68.4,2.72,8.89,2,basse
MCH-ID-00158,convoyeur,3035,74,58.5,1.57,7.53,3,basse
MCH-TG-00159,presse,604,58,76.6,1.22,8.97,3,basse
MCH-AG-00160,four,3953,112,56.5,4.52,6.18,3,moyenne
MCH-KZ-00161,presse,803,56,64.4,3.77,12.95,3,basse
MCH-WS-00162,convoyeur,3067,104,73.1,3.77,2.02,1,basse
MCH-CI-00163,convoyeur,326,88,77.6,4.92,9.43,2,basse
MCH-KZ-00164,convoyeur,1797,10,55.1,3.73,8.8,3,basse
MCH-SO-00165,four,1392,109,74.0,1.4,8.93,3,basse
MCH-GB-00166,compresseur,3720,82,53.2,4.06,5.04,2,moyenne
MCH-IQ-00167,pompe,4720,176,39.2,1.31,3.8,2,moyenne
MCH-BA-00168,compresseur,343,24,56.0,2.28,9.51,1,basse
MCH-LV-00169,pompe,5101,89,75.0,2.93,11.35,0,moyenne
MCH-CG-00170,pompe,5164,50,64.9,2.78,8.55,1,basse
MCH-KE-00171,pompe,2053,11,58.6,0.31,10.01,2,basse
MCH-NZ-00172,presse,3954,7,65.7,1.55,6.85,5,moyenne
MCH-DJ-00173,presse,2415,201,65.3,2.97,8.83,4,moyenne
MCH-PH-00174,presse,925,89,72.5,2.08,11.06,0,basse
MCH-AD-00175,convoyeur,3171,62,45.7,4.69,7.22,2,moyenne
MCH-WS-00176,presse,518,15,63.8,4.95,10.96,3,moyenne
MCH-WS-00177,pompe,5270,193,66.5,1.32,3.91,1,moyenne
MCH-IN-00178,four,5545,39,48.6,3.09,6.47,2,haute
MCH-SC-00179,convoyeur,4929,92,48.5,5.37,9.36,2,haute
MCH-EE-00180,four,3375,79,60.6,2.8,12.76,3,basse
MCH-SD-00181,pompe,3345,256,65.1,2.39,8.04,2,moyenne
MCH-CD-00182,convoyeur,5907,72,65.1,4.29,5.42,4,moyenne
MCH-YE-00183,presse,1487,47,58.3,2.59,12.7,3,basse
MCH-KG-00184,convoyeur,455,90,57.8,4.91,7.68,3,basse
MCH-DZ-00185,convoyeur,3371,97,60.3,2.11,9.66,0,basse
MCH-SD-00186,pompe,1972,365,68.6,2.29,7.16,2,basse
MCH-UZ-00187,compresseur,1934,71,79.9,4.19,8.36,2,basse
MCH-FJ-00188,compresseur,42,23,38.4,3.15,6.59,1,basse
MCH-DE-00189,compresseur,3577,54,72.5,3.16,13.64,1,moyenne
MCH-MR-00190,presse,1584,90,63.7,0.14,10.98,0,basse
MCH-DK-00191,presse,1127,103,71.3,2.47,12.42,2,basse
MCH-SR-00192,presse,242,14,79.2,4.3,6.03,3,basse
MCH-SM-00193,compresseur,2186,49,55.9,1.82,3.44,3,basse
MCH-AD-00194,four,5273,246,76.3,4.05,7.27,3,haute
MCH-US-00195,pompe,2020,32,50.0,3.4,14.29,1,basse
MCH-LI-00196,compresseur,4074,137,66.5,2.7,7.2,2,moyenne
MCH-RW-00197,pompe,4539,56,62.1,5.04,10.63,1,haute
MCH-AM-00198,compresseur,1968,75,65.6,2.49,5.44,1,basse
MCH-CG-00199,four,4929,16,53.1,2.59,5.93,6,basse
MCH-ML-00200,compresseur,4151,60,70.2,2.68,7.8,3,basse
MCH-KP-00201,four,3355,89,84.0,3.12,13.27,1,moyenne
MCH-GY-00202,convoyeur,5,72,53.3,4.15,10.75,0,basse
MCH-BG-00203,presse,210,64,67.3,0.79,2.87,2,basse
MCH-GY-00204,convoyeur,5945,113,75.3,4.3,9.67,1,haute
MCH-TN-00205,compresseur,4693,21,61.4,3.1,5.13,3,basse
MCH-BR-00206,presse,5625,92,81.3,3.83,6.3,2,moyenne
MCH-BS-00207,four,5413,6,59.8,6.59,9.28,2,haute
MCH-ES-00208,compresseur,122,165,63.6,2.23,11.5,0,basse
MCH-RU-00209,presse,4751,65,53.1,1.16,11.37,2,moyenne
MCH-BJ-00210,compresseur,2706,131,66.5,3.29,8.83,2,basse
MCH-PS-00211,presse,4737,1,65.0,3.53,8.86,2,moyenne
MCH-SN-00212,presse,40,118,72.6,4.31,11.37,3,basse
MCH-CN-00213,convoyeur,1729,38,57.4,2.19,4.06,2,basse
MCH-CN-00214,presse,4507,75,56.8,1.75,12.57,4,moyenne
MCH-KM-00215,compresseur,4758,119,70.5,0.7,6.16,2,basse
MCH-PY-00216,pompe,3718,70,81.8,0.95,8.65,1,basse
MCH-SY-00217,pompe,1807,109,72.5,2.38,6.76,1,basse
MCH-DM-00218,convoyeur,1862,56,87.2,2.83,5.11,3,basse
MCH-IN-00219,four,5800,174,71.7,6.1,9.15,0,haute
MCH-SM-00220,pompe,2635,65,71.2,0.46,8.59,2,basse
MCH-UZ-00221,convoyeur,2682,66,73.2,3.5,7.74,2,basse
MCH-NO-00222,presse,3313,67,82.9,1.91,7.62,4,moyenne
MCH-GH-00223,compresseur,2457,73,79.9,3.33,11.81,1,basse
MCH-SR-00224,presse,3316,22,52.0,2.17,13.48,3,basse
MCH-TW-00225,compresseur,2594,31,74.6,4.55,11.13,2,moyenne
MCH-ZA-00226,four,4960,145,68.2,4.54,8.69,2,haute
MCH-FM-00227,convoyeur,5454,131,62.7,2.83,3.91,0,moyenne
MCH-FR-00228,convoyeur,5592,125,43.7,5.16,9.57,2,haute
MCH-LC-00229,pompe,3385,102,46.5,4.14,9.68,3,moyenne
MCH-KR-00230,convoyeur,2652,48,60.6,5.09,9.93,1,basse
MCH-MZ-00231,four,4231,44,47.4,2.94,5.15,2,moyenne
MCH-SV-00232,pompe,5029,71,60.9,4.43,10.13,1,moyenne
MCH-CF-00233,presse,3377,161,73.6,1.85,11.9,3,basse
MCH-MR-00234,convoyeur,4199,85,58.0,1.7,5.54,0,basse
MCH-OM-00235,presse,4498,30,66.0,6.27,9.71,4,haute
MCH-SI-00236,presse,4058,17,52.2,1.37,5.97,4,basse
MCH-PG-00237,convoyeur,4476,134,68.6,2.35,7.74,1,basse
MCH-CL-00238,compresseur,1251,196,71.1,0.15,5.63,1,basse
MCH-HU-00239,presse,2990,13,47.9,1.73,7.12,3,basse
MCH-GR-00240,pompe,3529,137,56.0,1.51,7.14,0,basse
MCH-BI-00241,convoyeur,14,100,49.8,1.99,9.03,2,basse
MCH-LU-00242,pompe,5135,36,71.1,3.45,10.23,3,basse
MCH-AO-00243,presse,3660,86,67.0,3.81,11.04,1,basse
MCH-TZ-00244,presse,774,25,64.4,1.49,6.37,3,basse
MCH-TG-00245,pompe,4898,61,63.5,1.82,8.9,0,basse
MCH-GT-00246,presse,4302,74,68.9,4.63,5.25,0,moyenne
MCH-TZ-00247,convoyeur,4549,173,69.1,5.56,7.72,3,haute
MCH-GN-00248,presse,2352,59,59.1,4.88,8.11,1,moyenne
MCH-AF-00249,pompe,5125,40,57.4,0.53,5.69,2,moyenne
MCH-BN-00250,pompe,2484,95,64.3,4.78,9.4,3,moyenne
MCH-KN-00251,convoyeur,3423,111,62.7,5.78,7.61,1,moyenne
MCH-ZM-00252,pompe,3,39,89.7,0.46,8.39,5,moyenne
MCH-BH-00253,compresseur,3869,29,60.4,4.62,11.06,2,basse
MCH-GT-00254,presse,4309,31,68.5,3.34,6.93,5,moyenne
MCH-BJ-00255,pompe,3402,173,70.6,2.51,10.13,3,basse
MCH-AU-00256,presse,2979,108,81.8,3.16,11.61,1,moyenne
MCH-LS-00257,pompe,4859,56,55.3,3.66,11.45,3,moyenne
MCH-BN-00258,pompe,4088,154,81.1,4.74,7.53,0,basse
MCH-SG-00259,convoyeur,1668,39,63.2,4.66,5.57,1,basse
MCH-GW-00260,presse,5754,69,95.0,0.74,6.23,1,haute
MCH-IT-00261,pompe,4243,25,69.4,2.03,4.03,1,basse
MCH-SV-00262,compresseur,5927,149,50.3,3.14,9.72,4,moyenne
MCH-RU-00263,four,5827,36,62.6,5.36,9.87,2,haute
MCH-GH-00264,four,5513,37,81.0,0.0,8.29,3,moyenne
MCH-SR-00265,convoyeur,4532,96,66.0,2.08,4.56,2,basse
MCH-CO-00266,convoyeur,3656,5,64.3,0.71,7.09,1,basse
MCH-RS-00267,compresseur,1033,19,73.6,0.95,11.45,1,basse
MCH-TO-00268,presse,3260,122,60.9,4.48,9.52,2,haute
MCH-TR-00269,convoyeur,4592,31,62.5,2.2,9.96,2,basse
MCH-PY-00270,compresseur,3125,312,53.7,0.0,16.27,1,basse
MCH-HN-00271,pompe,5209,83,85.7,2.76,8.82,2,haute
MCH-PY-00272,pompe,657,12,50.3,6.05,2.6,1,basse
MCH-NE-00273,four,2285,203,67.0,0.29,5.25,2,basse
MCH-ET-00274,convoyeur,3035,83,70.8,3.8,8.76,0,basse
MCH-BY-00275,convoyeur,2593,62,64.8,5.35,8.05,0,basse
MCH-BY-00276,convoyeur,651,82,50.0,2.93,7.57,2,basse
MCH-KM-00277,presse,921,12,53.0,5.89,7.61,2,basse
MCH-NR-00278,pompe,5025,71,71.3,2.01,6.04,1,moyenne
MCH-MH-00279,pompe,2906,33,55.6,5.17,8.93,1,basse
MCH-NO-00280,compresseur,292,67,40.1,4.81,11.49,4,moyenne
MCH-NG-00281,convoyeur,98,49,69.6,2.95,12.33,0,basse
MCH-PT-00282,presse,2840,79,54.5,0.77,12.26,2,basse
MCH-ZA-00283,convoyeur,986,56,72.6,1.5,5.61,1,basse
MCH-BF-00284,convoyeur,4230,46,62.6,0.0,7.95,0,basse
MCH-GQ-00285,four,4771,29,62.0,3.89,7.22,1,basse
MCH-TD-00286,pompe,1369,12,65.6,3.71,9.48,4,basse
MCH-KH-00287,convoyeur,3553,9,51.3,3.12,7.79,1,basse
MCH-BZ-00288,convoyeur,926,20,55.1,2.82,7.44,4,basse
MCH-BH-00289,convoyeur,1821,115,61.9,5.04,11.64,4,moyenne
MCH-NA-00290,four,5332,28,51.3,3.45,8.25,1,basse
MCH-ZA-00291,compresseur,3264,40,73.6,2.17,8.31,4,basse
MCH-LU-00292,four,5315,40,61.3,3.22,9.03,0,moyenne
MCH-CD-00293,compresseur,1351,50,47.6,6.07,9.69,2,haute
MCH-HU-00294,convoyeur,1980,101,58.3,3.93,9.7,3,basse
MCH-FI-00295,convoyeur,2825,55,66.2,2.42,11.88,1,basse
MCH-ET-00296,four,2880,131,59.6,2.93,4.79,5,moyenne
MCH-SO-00297,convoyeur,5985,20,69.8,3.7,8.81,3,basse
MCH-PE-00298,compresseur,686,122,71.9,2.37,7.74,2,basse
MCH-CU-00299,pompe,5111,187,93.8,2.24,7.25,2,haute
MCH-NO-00300,compresseur,5182,70,78.8,2.98,9.89,0,moyenne
MCH-EG-00301,four,3319,26,45.4,5.28,11.24,3,moyenne
MCH-IT-00302,pompe,2064,103,60.7,4.19,6.52,2,basse
MCH-PL-00303,four,3115,71,61.8,2.39,12.22,0,basse
MCH-HU-00304,convoyeur,1754,90,71.9,4.3,4.42,1,basse
MCH-BO-00305,pompe,4794,134,53.8,3.01,9.48,2,moyenne
MCH-PA-00306,compresseur,2989,52,58.6,3.52,5.77,1,basse
MCH-SY-00307,convoyeur,5555,45,50.1,3.38,6.4,2,moyenne
MCH-BZ-00308,compresseur,3736,353,57.8,0.0,8.15,0,basse
MCH-BE-00309,pompe,3085,104,58.2,0.0,7.0,2,basse
MCH-CF-00310,presse,4266,151,61.2,3.34,0.84,3,moyenne
MCH-SR-00311,presse,3023,128,50.8,1.72,9.53,2,basse
MCH-AL-00312,pompe,5427,152,76.8,0.54,9.95,1,moyenne
MCH-BW-00313,compresseur,1106,92,70.7,1.77,7.6,4,basse
MCH-GB-00314,compresseur,5840,139,47.6,4.39,7.4,2,haute
MCH-GW-00315,presse,4873,40,65.3,3.54,7.07,5,moyenne
MCH-DM-00316,presse,5164,12,46.2,4.16,3.72,2,haute
MCH-NE-00317,presse,2897,31,81.1,3.68,3.46,0,basse
MCH-RU-00318,four,5023,63,84.4,1.62,10.01,2,moyenne
MCH-RO-00319,presse,1840,56,64.3,4.16,10.66,2,basse
MCH-GH-00320,compresseur,4571,71,54.8,3.88,9.49,5,moyenne
MCH-MZ-00321,pompe,842,38,57.0,2.82,8.95,1,basse
MCH-BH-00322,presse,1842,7,59.6,3.09,9.96,0,basse
MCH-DM-00323,four,2674,50,63.7,4.19,9.79,2,basse
MCH-MU-00324,four,1933,18,81.4,1.88,6.04,1,basse
MCH-AD-00325,compresseur,2322,69,76.5,4.63,8.56,5,moyenne
MCH-MW-00326,compresseur,4920,96,76.7,3.85,7.26,4,moyenne
MCH-IN-00327,pompe,1540,50,67.0,3.0,7.29,1,basse
MCH-PH-00328,pompe,4471,24,51.2,5.3,10.85,0,moyenne
MCH-JO-00329,convoyeur,442,74,55.8,1.06,11.94,4,basse
MCH-NO-00330,convoyeur,4594,365,65.7,2.31,2.13,1,basse
MCH-MC-00331,compresseur,4752,104,50.6,1.98,7.36,1,basse
MCH-ES-00332,compresseur,2410,110,68.6,3.54,7.23,2,basse
MCH-TH-00333,four,4334,45,74.7,4.77,10.9,0,moyenne
MCH-HR-00334,convoyeur,5490,34,71.5,1.53,4.37,4,moyenne
MCH-VC-00335,four,4804,152,71.1,7.96,0.53,0,haute
MCH-RU-00336,four,2342,4,42.6,2.01,10.05,4,moyenne
MCH-DE-00337,compresseur,2905,37,81.0,3.54,10.41,2,basse
MCH-ET-00338,compresseur,4676,216,46.2,3.0,3.54,2,haute
MCH-KE-00339,four,1755,65,63.2,3.07,7.69,0,basse
MCH-GM-00340,presse,4823,14,72.4,1.81,11.83,3,basse
MCH-BG-00341,compresseur,1968,98,69.3,4.6,5.3,3,basse
MCH-TT-00342,presse,4835,50,49.7,1.72,8.25,3,moyenne
MCH-LK-00343,convoyeur,520,10,51.8,0.35,9.27,3,basse
MCH-SR-00344,four,266,84,68.4,1.32,4.43,0,basse
MCH-BH-00345,compresseur,5986,75,71.1,5.17,6.59,2,haute
MCH-AE-00346,four,5216,72,51.7,4.88,3.77,2,haute
MCH-KW-00347,four,5297,103,69.7,0.0,7.59,4,moyenne
MCH-BG-00348,pompe,5707,23,46.8,4.22,6.02,4,moyenne
MCH-BE-00349,pompe,2629,91,72.5,0.03,8.52,1,basse
MCH-TV-00350,convoyeur,1721,79,54.4,2.96,9.59,4,basse
MCH-QA-00351,pompe,780,150,66.0,1.19,11.47,1,basse
MCH-SC-00352,compresseur,3007,36,64.0,4.34,13.83,3,basse
MCH-SM-00353,convoyeur,1320,169,78.9,3.83,8.52,1,basse
MCH-DJ-00354,four,5613,127,67.9,4.47,7.21,2,moyenne
MCH-BG-00355,four,24,63,57.8,2.56,7.06,3,basse
MCH-SE-00356,pompe,859,72,69.3,2.71,5.59,1,basse
MCH-BR-00357,four,1478,4,90.7,0.75,9.12,3,basse
MCH-ER-00358,pompe,1193,70,73.9,1.45,6.76,1,basse
MCH-BJ-00359,presse,1354,121,64.3,4.42,9.3,2,basse
MCH-UG-00360,four,3936,56,55.0,3.55,5.67,3,moyenne
MCH-BJ-00361,four,1965,150,57.6,3.16,6.83,0,basse
MCH-GQ-00362,compresseur,3690,99,73.2,4.89,9.08,3,haute
MCH-GW-00363,four,5341,261,54.4,1.05,7.69,0,basse
MCH-NA-00364,pompe,3615,39,65.0,4.08,3.2,2,basse
MCH-CL-00365,convoyeur,4167,112,82.3,1.23,7.96,1,basse
MCH-TN-00366,convoyeur,2193,18,66.8,5.22,6.0,1,basse
MCH-HU-00367,compresseur,958,60,52.1,3.82,10.95,2,basse
MCH-TT-00368,pompe,1923,103,91.1,4.45,10.43,2,moyenne
MCH-UG-00369,presse,5785,118,86.1,1.95,2.29,1,haute
MCH-BB-00370,compresseur,3730,52,71.0,6.27,10.0,2,haute
MCH-VN-00371,presse,1665,161,80.3,6.0,8.97,2,haute
MCH-BR-00372,convoyeur,2705,186,61.8,3.65,4.29,0,basse
MCH-NL-00373,compresseur,5013,39,73.7,4.76,10.2,2,moyenne
MCH-KM-00374,four,4010,61,59.9,2.55,4.8,2,basse
MCH-TV-00375,pompe,3363,56,48.7,1.1,10.86,0,basse
MCH-TM-00376,presse,5310,45,96.1,4.19,6.38,1,haute
MCH-SK-00377,presse,4034,178,48.1,1.62,4.2,4,moyenne
